Artist,Title,Year,URL,backcol
OutKast,Hey Ya!,2003,https://www.youtube.com/watch?v=voP2ynsSwzc,
Coldplay,Clocks,2002,https://www.youtube.com/watch?v=8Xv_Hg8o1fw,
The Killers,Mr. Brightside,2003,https://www.youtube.com/watch?v=m2zUrruKjDQ,
Alicia Keys,No One,2007,https://www.youtube.com/watch?v=6NU-th_NJNs,
Shakira,Hips Don’t Lie,2006,https://www.youtube.com/watch?v=nOj6d-HOw2w,
Gnarls Barkley,Crazy,2006,https://www.youtube.com/watch?v=vBtvhPM2GHc,
Rihanna,Umbrella,2007,https://www.youtube.com/watch?v=xXD5tltX9Pg,
Beyoncé,Irreplaceable,2006,https://www.youtube.com/watch?v=Nw8LyN21OO8,
Lady Gaga,Just Dance,2008,https://www.youtube.com/watch?v=ACNwMzZejQQ,
Kanye West,Stronger,2007,https://www.youtube.com/watch?v=12hLNbXKCs4,
Green Day,Boulevard of Broken Dreams,2004,https://www.youtube.com/watch?v=0-q83p_o-Lg,
Linkin Park,In the End,2001,https://www.youtube.com/watch?v=BLZWkjBXfN8,
Justin Timberlake,Cry Me a River,2002,https://www.youtube.com/watch?v=CIk45fEWBok,
Kelly Clarkson,Since U Been Gone,2004,https://www.youtube.com/watch?v=p0BiGek2bKA,
Nelly,Hot in Herre,2002,https://www.youtube.com/watch?v=F6JPc0779Ys,
Usher,Yeah!,2004,https://www.youtube.com/watch?v=XGXZOQ8yTU4,
Eminem,Lose Yourself,2002,https://www.youtube.com/watch?v=4wOLVrGHiIU,
Norah Jones,Don’t Know Why,2002,https://www.youtube.com/watch?v=GtOcxj3NDBI,
Maroon 5,This Love,2004,https://www.youtube.com/watch?v=AqQuRw0S6b4,
Amy Winehouse,Rehab,2006,https://www.youtube.com/watch?v=t2TKqJ2FXGM,
Kings of Leon,Sex on Fire,2008,https://www.youtube.com/watch?v=EOjm4SEDMu8,
The White Stripes,Seven Nation Army,2003,https://www.youtube.com/watch?v=D_QLxj8jCF0,
Katy Perry,I Kissed a Girl,2008,https://www.youtube.com/watch?v=usvTbqTHwyw,
Black Eyed Peas,I Gotta Feeling,2009,https://www.youtube.com/watch?v=Wnn6M1nNiKQ,
Snow Patrol,Chasing Cars,2006,https://www.youtube.com/watch?v=sgj04v5sDm4,
Gwen Stefani,Hollaback Girl,2005,https://www.youtube.com/watch?v=7YQESUr8Cxc,
Avril Lavigne,Complicated,2002,https://www.youtube.com/watch?v=DTtb9rt1tnk,
Jay-Z & Alicia Keys,Empire State of Mind,2009,https://www.youtube.com/watch?v=_ydMlTassYc,
Madonna,Hung Up,2005,https://www.youtube.com/watch?v=20OGm_-RebE,
Britney Spears,Toxic,2004,https://www.youtube.com/watch?v=tVdr_JWmnsA,
Santana feat. Rob Thomas,Smooth,2000,https://www.youtube.com/watch?v=mom2TLs3Fi0,
Destiny’s Child,Say My Name,2000,https://www.youtube.com/watch?v=KzMw3Pp0aqg,
Faith Hill,Breathe,2000,https://www.youtube.com/watch?v=Mkdo45Y3Hg0,
Lifehouse,Hanging by a Moment,2001,https://www.youtube.com/watch?v=TOwIGbTeCd8,
Train,Drops of Jupiter,2001,https://www.youtube.com/watch?v=qthko5ppHcM,
Missy Elliott,Get Ur Freak On,2001,https://www.youtube.com/watch?v=bJe-Gz5Meno,
Jennifer Lopez,Love Don’t Cost a Thing,2001,https://www.youtube.com/watch?v=BdefslZPBns,
Mary J. Blige,Family Affair,2001,https://www.youtube.com/watch?v=byFdFFgTnCc,
Nickelback,How You Remind Me,2001,https://www.youtube.com/watch?v=hhSLkkLl750,
Ashanti,Foolish,2002,https://www.youtube.com/watch?v=6rrNR2YdF8c,
Vanessa Carlton,A Thousand Miles,2002,https://www.youtube.com/watch?v=PNoIn1WKiEc,
Jimmy Eat World,The Middle,2002,https://www.youtube.com/watch?v=rubpIfLPzvU,
Sean Paul,Get Busy,2003,https://www.youtube.com/watch?v=tshxBEBMaA8,
Evanescence,Bring Me to Life,2003,https://www.youtube.com/watch?v=-eGM0IJc70Y,
Beyoncé feat. Jay-Z,Crazy in Love,2003,https://www.youtube.com/watch?v=5BnF0_LksYI,
